customer_id,gender,senior_citizen,partner,dependents,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,tenure_months,churn_status,churn_date,risk_score,segment_name,cltv_score,churn_status_label,senior_citizen_label,partner_label,dependents_label,phone_service_label,paperless_billing_label,tenure_group,monthly_charge_group,total_charge_group,risk_group,cltv_group,year,month,quarter,month_name
0106-GHRQR,Male,False,False,False,True,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,True,Bank transfer (automatic),71.4,1212.1,16,False,,30.0,Medium Value Stable,1142.4,Active,Non-Senior,Single,No Dependents,Yes,Yes,13-24,61-90,1K-2K,,0-2K,,,,
0106-UGRDO,Female,False,True,False,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,True,Electronic check,116.0,8182.85,69,False,,35.0,Medium Value Stable,8004.0,Active,Non-Senior,Has Partner,No Dependents,Yes,Yes,60+,91-120,5K+,,8K+,,,,
0107-WESLM,Male,False,False,False,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Electronic check,19.85,19.85,1,True,2025-09-10,75.0,High Risk,19.85,Churned,Non-Senior,Single,No Dependents,Yes,Yes,0-12,0-30,0-1K,,0-2K,2025.0,9.0,3.0,September
0107-YHINA,Male,False,False,True,True,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,99.75,99.75,1,True,2025-09-10,90.0,High Risk,99.75,Churned,Non-Senior,Single,Has Dependents,Yes,Yes,0-12,91-120,0-1K,,0-2K,2025.0,9.0,3.0,September
0111-KLBQG,Male,True,True,True,True,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,True,Mailed check,93.95,2861.45,32,False,,45.0,Standard,3006.4,Active,Senior,Has Partner,Has Dependents,Yes,Yes,25-36,91-120,2K-3K,,2K-4K,,,,
0112-QAWRZ,Male,False,True,True,True,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,True,Bank transfer (automatic),90.8,1442.2,16,False,,45.0,Standard,1452.8,Active,Non-Senior,Has Partner,Has Dependents,Yes,Yes,13-24,91-120,1K-2K,,0-2K,,,,
0112-QWPNC,Male,False,True,False,True,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,False,Electronic check,84.35,4059.35,49,True,2025-09-10,30.0,Medium Value Stable,4133.15,Churned,Non-Senior,Has Partner,No Dependents,Yes,No,37-60,61-90,3K-5K,,4K-6K,2025.0,9.0,3.0,September
0114-IGABW,Female,False,True,False,False,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,False,Bank transfer (automatic),58.25,4145.9,71,False,,0.0,High Value Loyal,4135.75,Active,Non-Senior,Has Partner,No Dependents,No,No,60+,31-60,3K-5K,,4K-6K,,,,
0114-PEGZZ,Female,False,False,False,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,False,Electronic check,107.55,3645.5,33,False,,65.0,High Risk,3549.15,Active,Non-Senior,Single,No Dependents,Yes,No,25-36,91-120,3K-5K,,2K-4K,,,,
0114-RSRRW,Female,False,True,False,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Bank transfer (automatic),19.95,187.75,10,False,,55.0,New Customers,199.5,Active,Non-Senior,Has Partner,No Dependents,Yes,Yes,0-12,0-30,0-1K,,0-2K,,,,
0115-TFERT,Male,False,True,False,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,True,Electronic check,111.2,2317.1,21,True,2025-09-10,65.0,High Risk,2335.2,Churned,Non-Senior,Has Partner,No Dependents,Yes,Yes,13-24,91-120,2K-3K,,2K-4K,2025.0,9.0,3.0,September
0117-LFRMW,Male,False,True,True,False,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,False,Bank transfer (automatic),40.2,1448.8,37,True,2025-09-10,30.0,Medium Value Stable,1487.4,Churned,Non-Senior,Has Partner,Has Dependents,No,No,37-60,31-60,1K-2K,,0-2K,2025.0,9.0,3.0,September
0118-JPNOY,Female,True,False,False,True,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,True,Credit card (automatic),85.8,2193.65,26,False,,45.0,Standard,2230.8,Active,Senior,Single,No Dependents,Yes,Yes,25-36,61-90,2K-3K,,2K-4K,,,,
0121-SNYRK,Male,False,False,False,False,No phone service,DSL,Yes,No,No,Yes,No,No,One year,True,Mailed check,35.4,1748.9,50,False,,10.0,Medium Value Stable,1770.0,Active,Non-Senior,Single,No Dependents,No,Yes,37-60,31-60,1K-2K,,0-2K,,,,
0122-OAHPZ,Female,False,False,False,True,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,True,Electronic check,73.85,511.25,7,True,2025-09-10,75.0,High Risk,516.95,Churned,Non-Senior,Single,No Dependents,Yes,Yes,0-12,61-90,0-1K,,0-2K,2025.0,9.0,3.0,September
0123-CRBRT,Female,False,True,True,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,False,Mailed check,88.1,5526.75,61,False,,0.0,High Value Loyal,5374.1,Active,Non-Senior,Has Partner,Has Dependents,Yes,No,60+,61-90,5K+,,4K-6K,,,,
0125-LZQXK,Male,False,False,False,True,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,True,Electronic check,101.35,1553.95,15,True,2025-09-10,65.0,High Risk,1520.25,Churned,Non-Senior,Single,No Dependents,Yes,Yes,13-24,91-120,1K-2K,,0-2K,2025.0,9.0,3.0,September
0128-MKWSG,Female,False,False,True,False,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,False,Mailed check,45.8,1147.0,26,False,,30.0,Medium Value Stable,1190.8,Active,Non-Senior,Single,Has Dependents,No,No,25-36,31-60,1K-2K,,0-2K,,,,
0129-KPTWJ,Male,False,True,False,True,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,True,Electronic check,94.65,6747.35,72,False,,65.0,High Risk,6814.8,Active,Non-Senior,Has Partner,No Dependents,Yes,Yes,60+,91-120,5K+,,6K-8K,,,,
0129-QMPDR,Male,False,True,True,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Bank transfer (automatic),20.5,865.05,44,False,,10.0,Standard,902.0,Active,Non-Senior,Has Partner,Has Dependents,Yes,Yes,37-60,0-30,0-1K,,0-2K,,,,
0130-SXOUN,Male,False,False,False,True,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,False,Credit card (automatic),89.4,5976.9,66,False,,45.0,Standard,5900.4,Active,Non-Senior,Single,No Dependents,Yes,No,60+,61-90,5K+,,4K-6K,,,,
0133-BMFZO,Female,False,False,False,True,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,True,Electronic check,86.25,181.65,2,True,2025-09-10,90.0,High Risk,172.5,Churned,Non-Senior,Single,No Dependents,Yes,Yes,0-12,61-90,0-1K,,0-2K,2025.0,9.0,3.0,September
0134-XWXCE,Female,True,False,False,True,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,False,Bank transfer (automatic),74.85,3268.05,44,False,,10.0,High Value Loyal,3293.4,Active,Senior,Single,No Dependents,Yes,No,37-60,61-90,3K-5K,,2K-4K,,,,
0135-NMXAP,Female,False,False,False,True,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,True,Bank transfer (automatic),89.75,1052.4,12,True,2025-09-10,45.0,Standard,1077.0,Churned,Non-Senior,Single,No Dependents,Yes,Yes,0-12,61-90,1K-2K,,0-2K,2025.0,9.0,3.0,September
0136-IFMYD,Male,True,True,False,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,True,Electronic check,109.95,7634.25,69,False,,35.0,Medium Value Stable,7586.55,Active,Senior,Has Partner,No Dependents,Yes,Yes,60+,91-120,5K+,,6K-8K,,,,
0137-OCGAB,Female,False,False,False,True,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,True,Mailed check,80.2,80.2,1,True,2025-09-10,70.0,High Risk,80.2,Churned,Non-Senior,Single,No Dependents,Yes,Yes,0-12,61-90,0-1K,,0-2K,2025.0,9.0,3.0,September
0137-UDEUO,Female,False,False,False,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.85,63.75,3,True,2025-09-10,55.0,New Customers,59.55,Churned,Non-Senior,Single,No Dependents,Yes,No,0-12,0-30,0-1K,,0-2K,2025.0,9.0,3.0,September
0139-IVFJG,Female,False,True,False,True,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,False,Electronic check,90.35,190.5,2,False,,90.0,High Risk,180.7,Active,Non-Senior,Has Partner,No Dependents,Yes,No,0-12,91-120,0-1K,,0-2K,,,,
0141-YEAYS,Female,True,False,False,True,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,True,Bank transfer (automatic),86.45,2401.05,27,False,,45.0,Standard,2334.15,Active,Senior,Single,No Dependents,Yes,Yes,25-36,61-90,2K-3K,,2K-4K,,,,
0142-GVYSN,Male,False,False,False,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Electronic check,20.3,511.25,26,False,,50.0,Standard,527.8,Active,Non-Senior,Single,No Dependents,Yes,Yes,25-36,0-30,0-1K,,0-2K,,,,
0147-ESWWR,Female,True,True,False,True,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,True,Electronic check,101.25,3949.15,39,False,,65.0,High Risk,3948.75,Active,Senior,Has Partner,No Dependents,Yes,Yes,37-60,91-120,3K-5K,,2K-4K,,,,
